145,0.1
-0.3522,0.7044
-0.2348,0.7044
-0.1174,0.7044
0,0.7044
0.1174,0.7044
0.2348,0.7044
0.3522,0.7044
-0.4696,0.587
-0.3522,0.587
-0.2348,0.587
-0.1174,0.587
0,0.587
0.1174,0.587
0.2348,0.587
0.3522,0.587
0.4696,0.587
-0.587,0.4696
-0.4696,0.4696
-0.3522,0.4696
-0.2348,0.4696
-0.1174,0.4696
0,0.4696
0.1174,0.4696
0.2348,0.4696
0.3522,0.4696
0.4696,0.4696
0.587,0.4696
-0.7044,0.3522
-0.587,0.3522
-0.4696,0.3522
-0.3522,0.3522
-0.2348,0.3522
-0.1174,0.3522
0,0.3522
0.1174,0.3522
0.2348,0.3522
0.3522,0.3522
0.4696,0.3522
0.587,0.3522
0.7044,0.3522
-0.7044,0.2348
-0.587,0.2348
-0.4696,0.2348
-0.3522,0.2348
-0.2348,0.2348
-0.1174,0.2348
0,0.2348
0.1174,0.2348
0.2348,0.2348
0.3522,0.2348
0.4696,0.2348
0.587,0.2348
0.7044,0.2348
-0.7044,0.1174
-0.587,0.1174
-0.4696,0.1174
-0.3522,0.1174
-0.2348,0.1174
-0.1174,0.1174
0,0.1174
0.1174,0.1174
0.2348,0.1174
0.3522,0.1174
0.4696,0.1174
0.587,0.1174
0.7044,0.1174
-0.7044,0
-0.587,0
-0.4696,0
-0.3522,0
-0.2348,0
-0.1174,0
0,0
0.1174,0
0.2348,0
0.3522,0
0.4696,0
0.587,0
0.7044,0
-0.7044,-0.1174
-0.587,-0.1174
-0.4696,-0.1174
-0.3522,-0.1174
-0.2348,-0.1174
-0.1174,-0.1174
0,-0.1174
0.1174,-0.1174
0.2348,-0.1174
0.3522,-0.1174
0.4696,-0.1174
0.587,-0.1174
0.7044,-0.1174
-0.7044,-0.2348
-0.587,-0.2348
-0.4696,-0.2348
-0.3522,-0.2348
-0.2348,-0.2348
-0.1174,-0.2348
0,-0.2348
0.1174,-0.2348
0.2348,-0.2348
0.3522,-0.2348
0.4696,-0.2348
0.587,-0.2348
0.7044,-0.2348
-0.7044,-0.3522
-0.587,-0.3522
-0.4696,-0.3522
-0.3522,-0.3522
-0.2348,-0.3522
-0.1174,-0.3522
0,-0.3522
0.1174,-0.3522
0.2348,-0.3522
0.3522,-0.3522
0.4696,-0.3522
0.587,-0.3522
0.7044,-0.3522
-0.587,-0.4696
-0.4696,-0.4696
-0.3522,-0.4696
-0.2348,-0.4696
-0.1174,-0.4696
0,-0.4696
0.1174,-0.4696
0.2348,-0.4696
0.3522,-0.4696
0.4696,-0.4696
0.587,-0.4696
-0.4696,-0.587
-0.3522,-0.587
-0.2348,-0.587
-0.1174,-0.587
0,-0.587
0.1174,-0.587
0.2348,-0.587
0.3522,-0.587
0.4696,-0.587
-0.3522,-0.7044
-0.2348,-0.7044
-0.1174,-0.7044
0,-0.7044
0.1174,-0.7044
0.2348,-0.7044
0.3522,-0.7044
